time,episode,action_sum,action_Normal,action_ARP_POISONING,action_MITM_DOS,action_REPLAY,action_DNP3_ENUMERATE,answer_Normal,answer_ARP_POISONING,answer_MITM_DOS,answer_REPLAY,answer_DNP3_ENUMERATE,
2025-01-18T12:43:07.650094,5440,27,6,5,4,6,6,7,4,5,8,3,
2025-01-18T12:43:07.655094,5445,5,1,2,0,1,1,1,1,2,0,1,
2025-01-18T12:43:07.753306,5488,43,5,10,7,12,9,5,11,10,7,10,
2025-01-18T12:43:07.760302,5494,6,3,1,2,0,0,3,0,0,1,2,
2025-01-18T12:43:07.859044,5541,47,8,12,9,8,10,5,14,9,8,11,
2025-01-18T12:43:07.868721,5550,9,3,0,2,3,1,2,1,3,1,2,
2025-01-18T12:43:07.908789,5564,14,2,3,4,1,4,3,1,5,2,3,
2025-01-18T12:43:07.999239,5601,37,7,8,4,9,9,9,6,6,10,6,
2025-01-18T12:43:08.115687,5666,65,11,16,10,15,13,10,14,9,15,17,
2025-01-18T12:43:08.119689,5669,3,0,0,0,2,1,1,1,0,0,1,
2025-01-18T12:43:08.162254,5686,17,6,2,2,3,4,6,1,5,2,3,
2025-01-18T12:43:08.223647,5724,38,7,7,5,13,6,7,6,10,10,5,
2025-01-18T12:43:08.373743,5798,74,13,12,15,14,20,19,12,11,17,15,
2025-01-18T12:43:08.464592,5840,42,6,10,7,9,10,8,8,10,7,9,
2025-01-18T12:43:08.468592,5842,2,0,1,0,0,1,0,2,0,0,0,
2025-01-18T12:43:08.474593,5847,5,1,1,1,0,2,3,1,1,0,0,
2025-01-18T12:43:08.562985,5884,37,6,11,8,4,8,5,8,9,11,4,
2025-01-18T12:43:08.570985,5892,8,2,3,0,3,0,1,4,1,1,1,
2025-01-18T12:43:08.571986,5892,0,0,0,0,0,0,0,0,0,0,0,
2025-01-18T12:43:08.572986,5893,1,0,0,0,0,1,0,0,0,1,0,
2025-01-18T12:43:08.610890,5904,11,3,1,2,2,3,4,0,2,4,1,
2025-01-18T12:43:08.620890,5913,9,2,2,4,1,0,0,3,1,3,2,
2025-01-18T12:43:08.665662,5932,19,5,5,4,0,5,2,6,7,3,1,
2025-01-18T12:43:08.667662,5933,1,1,0,0,0,0,0,1,0,0,0,
2025-01-18T12:43:08.673662,5939,6,0,0,3,3,0,1,3,1,1,0,
2025-01-18T12:43:08.953262,6033,94,13,23,13,18,27,22,19,18,15,20,
2025-01-18T12:43:09.020672,6067,34,6,8,7,9,4,6,8,8,9,3,
2025-01-18T12:43:09.076482,6095,28,7,5,3,6,7,2,4,9,6,7,
2025-01-18T12:43:09.079483,6097,2,1,0,0,1,0,0,2,0,0,0,
2025-01-18T12:43:09.166646,6132,35,4,10,9,6,6,2,13,9,8,3,
2025-01-18T12:43:09.168646,6133,1,0,1,0,0,0,0,1,0,0,0,
2025-01-18T12:43:09.175647,6140,7,1,1,2,1,2,2,2,2,0,1,
2025-01-18T12:43:09.233847,6173,33,5,5,6,12,5,8,8,10,3,4,
2025-01-18T12:43:09.267404,6179,6,0,2,0,2,2,2,1,2,0,1,
2025-01-18T12:43:09.270282,6181,2,0,1,0,1,0,0,1,0,1,0,
2025-01-18T12:43:09.321150,6206,25,6,3,7,4,5,3,5,7,5,5,
2025-01-18T12:43:09.481185,6289,83,22,16,16,17,12,15,20,13,15,20,
2025-01-18T12:43:09.576850,6334,45,9,12,9,9,6,11,9,9,6,10,
2025-01-18T12:43:09.579850,6336,2,1,0,0,1,0,0,1,0,0,1,
2025-01-18T12:43:09.585064,6341,5,1,2,1,1,0,0,0,2,2,1,
2025-01-18T12:43:09.631151,6359,18,3,2,4,7,2,5,3,3,5,2,
2025-01-18T12:43:09.638658,6365,6,2,1,1,2,0,2,1,2,1,0,
2025-01-18T12:43:09.684643,6383,18,7,1,4,2,4,6,3,5,3,1,
2025-01-18T12:43:09.791888,6440,57,17,5,17,10,8,10,14,14,9,10,
2025-01-18T12:43:09.799399,6447,7,0,3,1,2,1,0,1,1,3,2,
2025-01-18T12:43:09.841529,6461,14,2,4,2,2,4,4,2,2,3,3,
2025-01-18T12:43:09.848529,6467,6,1,0,3,0,2,0,1,2,1,2,
2025-01-18T12:43:09.899370,6491,24,5,5,5,6,3,5,7,1,1,10,
2025-01-18T12:43:09.997278,6538,47,9,11,11,9,7,9,9,5,7,17,
2025-01-18T12:43:10.052331,6566,28,4,7,6,5,6,7,8,5,5,3,
2025-01-18T12:43:10.060331,6574,8,2,1,2,1,2,1,2,2,1,2,
2025-01-18T12:43:10.102245,6589,15,1,8,1,3,2,4,2,2,4,3,
2025-01-18T12:43:10.160387,6621,32,10,5,6,5,6,8,5,5,7,7,
2025-01-18T12:43:10.344964,6702,81,20,15,13,12,21,15,14,16,13,23,
2025-01-18T12:43:10.348972,6705,3,1,0,2,0,0,0,0,1,2,0,
2025-01-18T12:43:10.353971,6709,4,0,0,1,0,3,0,2,0,0,2,
